id,price,weekly_price,monthly_price
197609,$190.00,$970.00,"$2,160.00"
197763,$300.00,,
200436,$55.00,$350.00,$950.00
200859,$225.00,,"$3,305.00"
200947,$65.00,$390.00,
201257,$160.00,$980.00,"$3,800.00"
203116,$172.00,"$1,100.00","$3,200.00"
205140,$75.00,$680.00,"$2,240.00"
206216,$50.00,$330.00,"$1,000.00"
206625,$75.00,$500.00,"$1,600.00"
208080,$160.00,"$1,100.00","$4,000.00"
209796,$80.00,,
212853,$129.00,,
213360,$75.00,$500.00,"$1,500.00"
213667,$110.00,$690.00,"$2,200.00"
213744,$95.00,,
214046,$195.00,"$1,300.00","$3,500.00"
214217,$199.00,"$1,250.00","$3,900.00"
214578,$60.00,,
214596,$50.00,$320.00,$900.00
215638,$70.00,$650.00,
215756,$125.00,$975.00,"$2,800.00"
215763,$60.00,$560.00,
216546,$150.00,"$1,000.00","$2,200.00"
216882,$70.00,,
218836,$73.00,"$1,000.00","$2,198.00"
219564,$130.00,$850.00,
219871,$70.00,$525.00,"$1,775.00"
220063,$65.00,,
220219,$120.00,$700.00,
220276,$80.00,$540.00,"$1,500.00"
221754,$85.00,$690.00,
221844,$90.00,$560.00,"$1,975.00"
222369,$99.00,$750.00,"$2,050.00"
222707,$179.00,$655.00,"$2,300.00"
225747,$230.00,,
226556,$70.00,$400.00,"$1,500.00"
227521,$89.00,$600.00,"$2,000.00"
227846,$45.00,$300.00,$950.00
229351,$100.00,,
229501,$170.00,"$1,100.00","$4,200.00"
230036,$79.00,$550.00,"$1,785.00"
230616,$295.00,"$1,950.00",
231419,$65.00,$450.00,"$1,200.00"
231442,$150.00,"$1,000.00","$3,600.00"
232293,$65.00,,
232437,$100.00,,
232956,$95.00,$600.00,"$2,500.00"
233110,$149.00,"$1,010.00","$2,636.00"
233401,$35.00,,$700.00
234247,$90.00,$600.00,"$2,000.00"
234926,$85.00,,"$2,000.00"
236449,$95.00,$700.00,"$1,700.00"
238883,$130.00,,
240434,$96.00,$700.00,"$1,850.00"
240484,$225.00,,
240930,$95.00,,
240938,$55.00,,
241636,$90.00,"$1,000.00","$3,500.00"
241770,$125.00,"$1,050.00","$3,200.00"
243040,$125.00,$875.00,"$3,750.00"
243245,$39.00,$300.00,"$1,200.00"
243610,$80.00,,
243738,$115.00,$720.00,"$2,500.00"
243961,$98.00,,
244858,$50.00,$300.00,
245027,$73.00,$500.00,"$1,500.00"
245715,$143.00,"$1,000.00","$4,290.00"
245905,$110.00,,
246047,$128.00,,
246647,$200.00,$800.00,"$1,900.00"
246667,$59.00,$210.00,$990.00
247728,$80.00,,
247764,$80.00,$450.00,"$1,600.00"
248575,$63.00,$485.00,"$1,700.00"
248983,$125.00,,
249304,$45.00,$400.00,"$1,400.00"
250378,$170.00,"$1,300.00",
251644,$100.00,,
252049,$200.00,$900.00,
252095,$98.00,$649.00,"$1,953.00"
252525,$55.00,$400.00,"$1,200.00"
253877,$57.00,$350.00,
254042,$105.00,,
254467,$95.00,,
256643,$90.00,$600.00,"$1,400.00"
256758,$150.00,,
257214,$110.00,$650.00,
258321,$85.00,,
259807,$149.00,"$1,000.00","$2,800.00"
261711,$59.00,$385.00,$980.00
261875,$120.00,,"$1,950.00"
262380,$150.00,,
262455,$175.00,"$1,200.00","$4,500.00"
262557,$64.00,$520.00,"$1,200.00"
263020,$126.00,$840.00,"$2,400.00"
263044,$120.00,$750.00,"$2,500.00"
263237,$170.00,,
263389,$115.00,$700.00,"$2,700.00"
264167,$170.00,,
265648,$65.00,,
266484,$60.00,$300.00,"$1,200.00"
266648,$127.00,,
266725,$115.00,,
266838,$72.00,$460.00,"$1,500.00"
267802,$100.00,$600.00,"$1,500.00"
268302,$60.00,$380.00,"$1,400.00"
270067,$600.00,"$4,000.00",
270072,$150.00,$900.00,"$3,500.00"
271825,$120.00,$750.00,"$1,450.00"
272269,$150.00,"$1,150.00","$3,000.00"
272303,$125.00,$900.00,"$2,800.00"
272351,$95.00,$840.00,"$3,500.00"
273423,$95.00,$600.00,"$1,900.00"
273662,$90.00,$600.00,
273780,$82.00,,
274137,$37.00,$220.00,$900.00
274172,$147.00,$880.00,"$2,800.00"
274576,$50.00,$320.00,"$1,200.00"
274590,$365.00,,
274731,$140.00,,
274877,$130.00,,
275219,$82.00,$500.00,"$1,722.00"
275263,$130.00,$660.00,"$1,500.00"
275549,$90.00,,
277077,$88.00,$580.00,"$1,500.00"
277555,$59.00,$350.00,
277915,$190.00,,
278472,$230.00,,
278518,$90.00,,
278815,$200.00,"$1,400.00",
278842,$70.00,$400.00,"$1,200.00"
279246,$95.00,$500.00,$990.00
280475,"$1,000.00","$3,990.00",
281221,$114.00,$846.00,"$3,000.00"
281357,$70.00,$380.00,
281405,$69.00,,
281420,$50.00,$560.00,
281965,$45.00,,
282008,$250.00,"$1,400.00","$4,500.00"
282872,$180.00,$550.00,"$1,650.00"
283103,$95.00,$470.00,"$1,550.00"
283583,$80.00,$450.00,"$1,400.00"
283632,$60.00,,
283685,$190.00,"$1,100.00","$3,030.00"
284255,$58.00,$298.00,"$1,092.00"
284294,$215.00,"$1,400.00",
284315,$90.00,$600.00,
284476,$155.00,,"$2,650.00"
284505,$135.00,,"$2,000.00"
285108,$57.00,,
285262,$75.00,$500.00,
285786,$129.00,$810.00,"$2,400.00"
286005,$175.00,$350.00,
286364,$80.00,,
287037,$38.00,,$680.00
287223,$300.00,"$2,000.00",
287690,$100.00,,
287932,$92.00,$580.00,
288141,$74.00,,"$1,790.00"
288170,$50.00,,
288842,$55.00,$350.00,"$1,200.00"
289021,$95.00,$600.00,"$1,400.00"
289647,$169.00,$750.00,"$2,950.00"
289892,$106.00,$500.00,"$1,500.00"
290670,$70.00,$700.00,"$1,400.00"
291235,$75.00,$390.00,"$1,300.00"
293228,$130.00,,
297658,$245.00,,
297901,$69.00,$430.00,
298423,$125.00,$785.00,
298548,$120.00,$800.00,"$2,500.00"
299328,$90.00,$600.00,"$2,200.00"
301233,$150.00,$790.00,"$2,050.00"
302194,$86.00,$550.00,"$1,620.00"
302727,$90.00,$500.00,"$1,900.00"
303217,$160.00,,"$1,800.00"
304920,$75.00,,
306538,$80.00,$485.00,$900.00
306624,$98.00,,
306815,$145.00,$776.00,"$2,476.00"
307154,$189.00,,
308423,$115.00,,
308572,$105.00,$910.00,"$3,444.00"
309092,$115.00,$790.00,"$2,800.00"
310103,$240.00,"$1,400.00",
310765,$88.00,$750.00,"$2,300.00"
310942,$550.00,$700.00,"$2,500.00"
311483,$63.00,$450.00,"$1,750.00"
311499,$60.00,,
311573,$151.00,"$1,201.00","$3,803.00"
311659,$35.00,$180.00,$580.00
312283,$149.00,"$1,215.00",
312437,$115.00,$800.00,"$3,000.00"
312477,$60.00,$500.00,"$1,250.00"
314200,$73.00,$500.00,"$1,900.00"
314288,$80.00,,
314294,$95.00,$550.00,
314588,$84.00,$700.00,"$2,400.00"
