id,room_type,minimum_nights,number_of_reviews,host_listings_count,availability_30,availability_60,availability_90,availability_365,neighbourhood
514746,Entire home/apt,4,0,1.0,0,0,0,0,Buttes-Chaumont - Belleville
514870,Entire home/apt,5,0,1.0,0,0,0,0,Commerce - Dupleix
516537,Entire home/apt,2,9,1.0,0,0,0,0,XI Arrondissement
517137,Entire home/apt,3,43,1.0,0,0,0,0,La Chapelle
517488,Entire home/apt,1,1,1.0,0,0,0,0,Montmartre
518650,Entire home/apt,3,169,1.0,0,0,0,0,XI Arrondissement
520555,Entire home/apt,1,0,1.0,0,0,0,0,Opera - Grands Boulevards
520929,Entire home/apt,4,5,1.0,0,0,0,0,Republique
521752,Entire home/apt,6,14,1.0,0,0,0,0,Auteuil
522428,Entire home/apt,4,1,1.0,0,0,0,0,Buttes-Chaumont - Belleville
523446,Entire home/apt,5,27,1.0,0,0,0,0,Invalides - Ecole Militaire
526316,Private room,1,0,1.0,0,0,0,0,Pigalle - Saint-Georges
526719,Entire home/apt,5,24,1.0,0,0,0,0,Ternes
526838,Entire home/apt,7,0,1.0,0,0,0,0,Saint-Michel
526920,Entire home/apt,3,10,1.0,0,0,0,0,Montmartre
528088,Entire home/apt,4,20,1.0,0,0,0,0,Nation
528415,Entire home/apt,2,30,1.0,0,0,0,0,III Arrondissement
528685,Entire home/apt,3,6,1.0,0,0,0,0,X Arrondissement
528769,Entire home/apt,2,9,1.0,0,0,0,0,Chatelet - Les Halles - Beaubourg
529071,Entire home/apt,3,4,1.0,0,0,0,0,Nation
532407,Entire home/apt,1,48,1.0,0,0,0,0,Saint-Paul - Ile Saint-Louis
532531,Entire home/apt,2,10,1.0,0,0,0,0,Montmartre
533951,Entire home/apt,5,8,1.0,0,0,0,0,Montmartre
534266,Entire home/apt,6,17,1.0,0,0,0,0,Pantheon
536312,Entire home/apt,2,14,1.0,0,0,0,0,Montparnasse
539317,Entire home/apt,5,26,1.0,0,0,0,0,Buttes-Chaumont - Belleville
540214,Entire home/apt,3,16,1.0,0,0,0,0,X Arrondissement
541503,Entire home/apt,2,89,1.0,0,0,0,0,Batignolles
541578,Entire home/apt,7,2,1.0,0,0,0,0,La Chapelle
541720,Entire home/apt,3,11,1.0,0,0,0,0,Port-Royal
542535,Entire home/apt,1,5,1.0,0,0,0,0,Bastille
543526,Entire home/apt,2,2,1.0,0,0,0,0,Montparnasse
543694,Entire home/apt,3,6,1.0,0,0,0,0,Montmartre
543779,Private room,1,60,1.0,0,0,0,0,Montparnasse
546041,Entire home/apt,1,112,1.0,0,0,0,0,Montmartre
546128,Entire home/apt,2,4,1.0,0,0,0,0,Bastille
546719,Entire home/apt,5,12,1.0,0,0,0,0,Republique
546759,Entire home/apt,4,4,1.0,0,0,0,0,XI Arrondissement
547907,Entire home/apt,4,7,1.0,0,0,0,0,Opera - Grands Boulevards
549546,Entire home/apt,4,9,1.0,0,0,0,0,Republique
551613,Entire home/apt,3,56,1.0,0,0,0,0,X Arrondissement
553470,Entire home/apt,3,11,1.0,0,0,0,0,III Arrondissement
553502,Entire home/apt,2,34,1.0,0,0,0,0,La Chapelle
553559,Entire home/apt,1,3,1.0,0,0,0,0,Nation
553689,Entire home/apt,3,1,1.0,0,0,0,0,Republique
554455,Entire home/apt,1,0,1.0,0,0,0,0,Pigalle - Saint-Georges
554876,Entire home/apt,3,52,1.0,0,0,0,0,Bastille
555083,Entire home/apt,1,5,1.0,0,0,0,0,Republique
555148,Entire home/apt,7,2,1.0,0,0,0,0,Porte de Clignancourt
555437,Entire home/apt,1,1,1.0,0,0,0,0,Gare du Nord - Gare de I'Est
555552,Entire home/apt,3,27,1.0,0,0,0,0,Republique
556108,Entire home/apt,3,0,1.0,0,0,0,0,Tour Eiffel - Champ de Mars
556141,Entire home/apt,4,14,1.0,0,0,0,0,Bercy
556358,Entire home/apt,3,76,1.0,0,0,0,0,Bastille
556379,Entire home/apt,5,3,1.0,0,0,0,0,Buttes-Chaumont - Belleville
556557,Entire home/apt,7,0,1.0,0,0,0,0,La Villette
557192,Entire home/apt,7,0,1.0,0,0,0,0,Montmartre
557604,Entire home/apt,7,10,1.0,0,0,0,0,Montmartre
557715,Entire home/apt,3,0,1.0,0,0,0,0,Nation
557768,Entire home/apt,4,0,1.0,0,0,0,0,Gare du Nord - Gare de I'Est
558368,Entire home/apt,1,25,1.0,0,0,0,0,Tour Eiffel - Champ de Mars
558768,Entire home/apt,2,26,1.0,0,0,0,0,La Chapelle
558913,Entire home/apt,2,2,1.0,0,0,0,0,Pere Lachaise - Menilmontant
560694,Entire home/apt,4,4,1.0,0,0,0,0,Bastille
562894,Entire home/apt,5,17,1.0,0,0,0,0,Le Marais
562951,Entire home/apt,4,4,1.0,0,0,0,0,Buttes-Chaumont - Belleville
563056,Entire home/apt,4,12,1.0,0,0,0,0,Buttes-Chaumont - Belleville
563431,Private room,3,22,1.0,0,0,0,0,Republique
563979,Entire home/apt,3,18,1.0,0,0,0,0,
565243,Private room,2,23,1.0,0,0,0,0,XI Arrondissement
566524,Entire home/apt,2,5,1.0,0,0,0,0,Pantheon
568597,Entire home/apt,7,4,1.0,0,0,0,0,La Chapelle
569393,Entire home/apt,4,11,1.0,0,0,0,0,Chatelet - Les Halles - Beaubourg
569831,Entire home/apt,7,14,1.0,0,0,0,0,Porte de Clignancourt
570113,Entire home/apt,3,10,1.0,0,0,0,0,Pigalle - Saint-Georges
571823,Entire home/apt,3,15,1.0,0,0,0,0,Bastille
572913,Entire home/apt,3,44,1.0,0,0,0,0,XI Arrondissement
574683,Entire home/apt,4,26,1.0,0,0,0,0,Le Marais
575075,Entire home/apt,3,13,1.0,0,0,0,0,Nation
575376,Entire home/apt,4,11,1.0,0,0,0,0,Montmartre
575535,Entire home/apt,7,8,1.0,0,0,0,0,Republique
576627,Entire home/apt,2,30,1.0,0,0,0,0,Nation
578973,Entire home/apt,4,0,1.0,0,0,0,0,Porte de Clignancourt
578990,Entire home/apt,6,2,1.0,0,0,0,0,La Chapelle
581258,Private room,2,51,1.0,0,0,0,0,Palais Royal
581988,Entire home/apt,2,32,1.0,0,0,0,0,Canal Saint-Martin
582251,Entire home/apt,3,0,1.0,0,0,0,0,Buttes-Chaumont - Belleville
582491,Entire home/apt,6,8,1.0,0,0,0,0,Chatelet - Les Halles - Beaubourg
584903,Entire home/apt,3,20,1.0,0,0,0,0,Bastille
584994,Private room,3,22,1.0,0,0,0,0,Buttes-Chaumont - Belleville
585657,Entire home/apt,6,3,1.0,0,0,0,0,XI Arrondissement
585918,Entire home/apt,7,0,1.0,0,0,0,0,Saint-Germain-des-Pres - Odeon
